Id,Name,category,lowprice,highprice,health_index,star1,star2,star3,star4,star5,Accept_Credit_Card,Alcohol,Appointment_Only,Caters,Delivers,Dogs_Allowed,Outdoor_Seating,Parking,Smoking_allowed,Take_out,Takes_Reservations,Wheelchair_Accessible,WIFI,Opened_24hrs,Ambience,Attire,Noise_Level,Music
JjGLEi6zw5PgR4AQfDPBng,Al Volo,Italian,$11-30,$11-30,"
                                71 out of 100
                            ",8,5,13,51,150,Yes,Beer & Wine Only,,Yes,,No,No,Street,,Yes,Yes,No,Free,,Casual,Casual,Average,
XGKMeelsF3yPbY-jIZxZRA,Grand Central,"Bars,American (Traditional)",$11-30,$11-30,"
                                60 out of 100
                            ",0,0,0,0,0,Yes,Full Bar,,No,,,Yes,Street,,No,No,,No,,Casual,Casual,Very Loud,DJ
KzvDIfyPmWQ0MPDTldtNNg,Meze,"Turkish,Mediterranean,Middle Eastern",$11-30,$11-30,"
                                85 out of 100
                            ",0,0,0,0,0,Yes,Full Bar,,Yes,,,Yes,Street,,Yes,Yes,,No,,Casual,Casual,Average,
2hJE8pBAwyw7NffzuxTjQg,Zenebech Restaurant,"Ethiopian,African,Wine Bars",Under $10,Under $10,,8,13,40,152,224,Yes,Full Bar,,Yes,,No,Yes,Street,,Yes,No,Yes,No,,Casual,Casual,Average,
PvRz-sn6GHaEvhmx_XcqMA,Johnny Pistolas,"Mexican,Bars",$11-30,$11-30,"
                                0 out of 100
                            ",54,40,33,67,83,Yes,Full Bar,,Yes,,,Yes,Street,,Yes,,Yes,Free,,Casual,Casual,Average,
yB5_ypy77U8-fh-4PBk4_w,The Town Tavern,Bars,Inexpensive,Inexpensive,"
                                78 out of 100
                            ",0,0,0,0,0,Yes,Full Bar,,,,,Yes,"Garage, Street",,,,,No,,Divey,,Loud,DJ
b2voZVlouByHQlCUauhytg,Mama Ayesha’s,"Middle Eastern,Mediterranean,Syrian",$11-30,$11-30,"
                                84 out of 100
                            ",0,0,0,0,0,Yes,Full Bar,,No,,,Yes,Street,,Yes,Yes,,Free,,,Casual,Average,
dXVjIxOIVqgjC6FdlcfHWA,Chi-Cha Lounge,"Latin American,Lounges,Hookah Bars",$11-30,$11-30,"
                                84 out of 100
                            ",0,0,0,0,0,Yes,Full Bar,,No,,No,Yes,Street,,Yes,Yes,,No,,Trendy,Casual,Loud,
2VJ8gEpYhRODfIi1YRaGeQ,District Kitchen,American (New),$11-30,$11-30,"
                                66 out of 100
                            ",0,0,0,0,0,Yes,Full Bar,,Yes,,,Yes,Street,,Yes,Yes,,No,,Casual,Casual,Average,
uKC9bXfRIHnYhOCRe4C4jQ,Medaterra,Mediterranean,$11-30,$11-30,"
                                95 out of 100
                            ",42,40,82,103,127,Yes,Full Bar,,Yes,,No,Yes,Street,,Yes,Yes,,No,,Casual,Casual,Average,
LhVZjnt_W_RGymDCGJZVBw,Hot N Juicy Crawfish,"Seafood,Cajun/Creole",$11-30,$11-30,"
                                89 out of 100
                            ",80,94,161,414,545,Yes,Full Bar,,No,,,Yes,"Garage, Street, Validated",,Yes,No,,No,,Casual,Casual,Average,
XZaZKVxWoYJloBZF_ASqoA,Lebanese Taverna,"Lebanese,Mediterranean",$11-30,$11-30,"
                                92 out of 100
                            ",0,0,0,0,0,Yes,Full Bar,,Yes,,,Yes,"Garage, Street, Validated",,Yes,Yes,,Free,,Casual,Casual,Average,
ur017_3gRmCt4e3tHWjBLQ,Petits Plats,"French,American (New)",$11-30,$11-30,"
                                87 out of 100
                            ",15,13,29,62,53,Yes,Full Bar,,Yes,,,Yes,Street,,Yes,Yes,,Free,,Intimate,Casual,Quiet,
W-6JWToQHBvGUbfw6Y-THQ,Ruth’s Chris Steak House,Steakhouses,$31-60,$31-60,,22,30,43,67,78,Yes,Full Bar,,No,,,No,,,Yes,Yes,Yes,No,,Upscale,Dressy,Average,
GKXEL7k-AWl_Qi5VASVteA,Beau Thai - Mount Pleasant,"Thai,Bars",$11-30,$11-30,"
                                90 out of 100
                            ",17,35,51,115,143,Yes,Full Bar,,No,,No,Yes,Street,,Yes,Yes,,No,,Casual,Casual,Average,
ZgjCUSm-El-zEGdRm769nQ,Purple Patch,"Filipino,American (Traditional),Cocktail Bars",$11-30,$11-30,"
                                89 out of 100
                            ",13,22,66,138,332,Yes,Full Bar,,Yes,,,No,Street,,Yes,Yes,No,Free,,"Casual, Trendy",Casual,Average,
9uuDSvj9b7ntCq0ETuizzg,Bistrot Du Coin,French,$11-30,$11-30,"
                                85 out of 100
                            ",0,0,0,0,0,Yes,Full Bar,,No,,,No,Street,,Yes,Yes,,No,,Casual,Casual,Loud,
W1wXF-ufqYLtTNBwz8nX_w,Bistro Bistro,"French,Italian,Mediterranean",$11-30,$11-30,"
                                78 out of 100
                            ",0,0,0,0,0,Yes,Full Bar,,Yes,,,No,Street,,Yes,Yes,,Free,,Casual,Casual,Average,
eaAjtWOMq7JfE0b7KzgAkQ,Lost Society,Steakhouses,$11-30,$11-30,,95,79,121,173,108,Yes,Full Bar,,No,,,Yes,Street,,Yes,Yes,Yes,Free,,Trendy,Casual,Loud,
pUjKDQF0ifCph9AzujZbhg,Sette Osteria,"Italian,Coffee & Tea,Breakfast & Brunch",$11-30,$11-30,"
                                89 out of 100
                            ",47,84,103,160,139,Yes,Full Bar,,Yes,,,Yes,"Garage, Street, Private Lot, Validated",,Yes,Yes,Yes,Free,,Casual,Casual,Average,
vbE8giq_2YaJWWYn-U0x5g,Gazuza,"Hookah Bars,Lounges",Moderate,Moderate,,0,0,0,0,0,Yes,Full Bar,,,,,No,Street,,,Yes,,Free,,Trendy,,Very Loud,DJ
aguz4N77GReqFushBdhVsw,Amsterdam Falafelshop,"Falafel,Vegetarian,Sandwiches",Under $10,Under $10,"
                                93 out of 100
                            ",22,10,19,86,201,Yes,No,,No,,,No,Street,,Yes,No,,No,,Casual,,Average,
EZQNWslQO5fF-6qJ-eRsRw,CAVA,Mediterranean,Under $10,Under $10,"
                                96 out of 100
                            ",0,0,0,0,0,Yes,No,,No,,,No,Street,,Yes,,,No,,Casual,Casual,Average,
AVihKWsWaQAp0f2DPdXe4Q,Zorba’s Cafe,"Greek,Pizza,Mediterranean",$11-30,$11-30,"
                                85 out of 100
                            ",0,0,0,0,0,Yes,Beer & Wine Only,,Yes,,,Yes,Street,,Yes,Yes,,Free,,Casual,Casual,Average,
#NAME?,El Centro DF,"Mexican,Bars",$11-30,$11-30,"
                                95 out of 100
                            ",156,128,207,393,379,Yes,Full Bar,,Yes,,,Yes,Street,,Yes,Yes,,No,,Trendy,Casual,Loud,
